Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,1,10777,reglog,{},paper,Fair-transport,,0.4,0.48010610079575594,0.3425026968716289,True,completed_without_exception,optimal,,0.05694812399451621,optimal,,,,,,0.32293256750455485,0.5534366077003282,CLARABEL,OSQP
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Unfair,,,0.4880636604774536,0.26659285754840173,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Our Eps-Fair,0.0,,0.4588859416445623,0.09413501391017998,True,0,Optimization terminated successfully,19.0,0.02021705699735321,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Our Eps-Fair,0.1,,0.4907161803713528,0.23122125702606033,True,0,Optimization terminated successfully,19.0,0.01975122600561008,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Our Eps-Fair,0.2,,0.4880636604774536,0.26659285754840173,True,0,Optimization terminated successfully,1.0,0.0012620159977814183,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Our Eps-Fair,0.3,,0.4880636604774536,0.26659285754840173,True,0,Optimization terminated successfully,1.0,0.001205199005198665,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Our Eps-Fair,0.4,,0.4880636604774536,0.26659285754840173,True,0,Optimization terminated successfully,1.0,0.0012639579945243895,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,Our Eps-Fair,0.5,,0.4880636604774536,0.26659285754840173,True,0,Optimization terminated successfully,1.0,0.0011929369939025491,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,FairProjection,,0.0,0.4880636604774536,0.21169022880826666,True,completed_without_exception,convergence_not_observable,,3.042201552001643,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,FairProjection,,0.1,0.4854111405835544,0.279878498836087,True,completed_without_exception,convergence_not_observable,,2.9816475929983426,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,1,10777,RF,"{'n_estimators': np.int64(134), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(8), 'max_depth': np.int64(11)}",paper,FairProjection,,0.2,0.46684350132625996,0.27701129847271905,True,completed_without_exception,convergence_not_observable,,3.043826363005792,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
